"","Estimate","SE","Direct","Indirect","Total"
"age18",-0.0338675281828298,0.0752263518355643,-0.034165281180801,-0.00138207807911827,-0.0355473592599193
"age65",0.182847946655608,0.0690309413206162,0.184455490140792,0.00746172373490844,0.1919172138757
"latino",0.291835702467814,0.161099040323178,0.294401433124499,0.011909334655528,0.306310767780027
"white",0.0846477683119844,0.13421169788398,0.0853919657228614,0.00345433609440642,0.0888463018172678
"black",0.0209448797401156,0.105098164798995,0.0211290207468374,0.000854726066877767,0.0219837468137152
"asian",-0.0124237370317434,0.128056517527002,-0.0125329627457441,-0.000506992258768019,-0.0130399550045121
"poverty",0.199145961587562,0.107057499526289,0.200896792258653,0.00812681889771441,0.209023611156368
"uninsured",0.0634497721847233,0.117885562025186,0.0640076032666554,0.00258928076439935,0.0665968840310548
"bachelor",-0.0502284661828042,0.131242583859107,-0.0506700595671424,-0.00204974102875866,-0.0527198005959011
"pop.dens",0.152035727016111,0.0711738045873376,0.153372378845952,0.00620432776839924,0.159576706614351
"hh.dens",0.273630902282344,0.111042844013367,0.276036581877628,0.0111664267250985,0.287203008602727
"rho",0.0472561425676295,NA,NA,NA,NA
